Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,World,WLD,7741774583
"Population, total",SP.POP.TOTL,Afghanistan,AFG,37769499
"Population, total",SP.POP.TOTL,Albania,ALB,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,42705368
"Population, total",SP.POP.TOTL,American Samoa,ASM,47321
"Population, total",SP.POP.TOTL,Andorra,AND,76343
"Population, total",SP.POP.TOTL,Angola,AGO,32353588
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,92117
"Population, total",SP.POP.TOTL,Argentina,ARG,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2820602
"Population, total",SP.POP.TOTL,Aruba,ABW,106442
"Population, total",SP.POP.TOTL,Australia,AUS,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,404557
"Population, total",SP.POP.TOTL,Bahrain,BHR,1494188
"Population, total",SP.POP.TOTL,Bangladesh,BGD,165516222
"Population, total",SP.POP.TOTL,Barbados,BRB,280180
"Population, total",SP.POP.TOTL,Belarus,BLR,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,389095
"Population, total",SP.POP.TOTL,Benin,BEN,12290444
"Population, total",SP.POP.TOTL,Bermuda,BMU,63911
"Population, total",SP.POP.TOTL,Bhutan,BTN,767459
"Population, total",SP.POP.TOTL,Bolivia,BOL,11777315
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3360711
"Population, total",SP.POP.TOTL,Botswana,BWA,2499702
"Population, total",SP.POP.TOTL,Brazil,BRA,211782878
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30610
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,438048
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20951639
"Population, total",SP.POP.TOTL,Burundi,BDI,11874838
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,577030
"Population, total",SP.POP.TOTL,Cambodia,KHM,16207746
"Population, total",SP.POP.TOTL,Cameroon,CMR,25782341
"Population, total",SP.POP.TOTL,Canada,CAN,37601230
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,66134
"Population, total",SP.POP.TOTL,Central African Republic,CAF,5209324
"Population, total",SP.POP.TOTL,Chad,TCD,16126866
"Population, total",SP.POP.TOTL,Channel Islands,CHI,169410
"Population, total",SP.POP.TOTL,Chile,CHL,19039485
"Population, total",SP.POP.TOTL,China,CHN,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,50187406
"Population, total",SP.POP.TOTL,Comoros,COM,790986
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,89906890
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5570733
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5084532
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,26147551
"Population, total",SP.POP.TOTL,Croatia,HRV,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11316697
"Population, total",SP.POP.TOTL,Curacao,CUW,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1228836
"Population, total",SP.POP.TOTL,Czechia,CZE,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,1073994
"Population, total",SP.POP.TOTL,Dominica,DMA,71428
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10881882
"Population, total",SP.POP.TOTL,Ecuador,ECU,17343740
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,105618671
"Population, total",SP.POP.TOTL,El Salvador,SLV,6280217
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1553031
"Population, total",SP.POP.TOTL,Eritrea,ERI,3498818
"Population, total",SP.POP.TOTL,Estonia,EST,1326898
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1169613
"Population, total",SP.POP.TOTL,Ethiopia,ETH,114120594
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,51681
"Population, total",SP.POP.TOTL,Fiji,FJI,918465
"Population, total",SP.POP.TOTL,Finland,FIN,5521606
"Population, total",SP.POP.TOTL,France,FRA,67388001
"Population, total",SP.POP.TOTL,French Polynesia,PYF,299717
"Population, total",SP.POP.TOTL,Gabon,GAB,2242785
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2508883
"Population, total",SP.POP.TOTL,Georgia,GEO,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,31522290
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32685
"Population, total",SP.POP.TOTL,Greece,GRC,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,122724
"Population, total",SP.POP.TOTL,Guam,GUM,168624
"Population, total",SP.POP.TOTL,Guatemala,GTM,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,12877539
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1970457
"Population, total",SP.POP.TOTL,Guyana,GUY,798753
"Population, total",SP.POP.TOTL,Haiti,HTI,11160438
"Population, total",SP.POP.TOTL,Honduras,HND,9958829
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,9771141
