country,activity,time_spent,women_to_men,continent
Greece,Other,6.0942068,1.1293349164713933,Europe
Hungary,Other,8.7381868,0.7215437149834277,Europe
Ireland,Other,41.172009,1.0636084824842307,Europe
Italy,Other,13.185362,1.18502789439185,Europe
Japan,Other,47.087002,1.207795054836261,Asia
South Korea,Other,27.73358,1.3377220777168173,Asia
Mexico,Other,21.448614,1.1949858544761214,North America
Netherlands,Other,15.296655,1.210790387645859,Europe
New Zealand,Other,17,1.1875,Oceania
Norway,Other,7.2344952,0.5343458834869178,Europe
Poland,Other,11.220911,1.2313857244989628,Europe
Portugal,Other,6.0419579,1.3990224083670568,Europe
Spain,Other,13.424608,0.964759050012308,Europe
Sweden,Other,6.1398563,0.7147821,Europe
Turkey,Other,40.09676,1.3512376783288218,Asia
United Kingdom,Other,32.471893,1.1736961092621114,Europe
United States,Other,23.83816,1.4067215442964656,North America
China,Other,14.989591,0.8,Asia
Estonia,Other,5,0.6907466591957588,Europe
India,Other,12.388403,1.0249629913128286,Asia
Latvia,Other,3.8495073,1.6365680771301552,Europe
Slovenia,Other,5.9916782,1.19749826857289,Europe
South Africa,Other,16.16213,1.419005342480307,Africa
Australia,Paid work or study,238.16539,0.5656857150149038,Oceania
Austria,Paid work or study,306.43021,0.6819254297735431,Europe
Belgium,Paid work or study,235.75362,0.7279120840256412,Europe
Canada,Paid work or study,304.64124,0.7878826136623338,North America
Denmark,Paid work or study,224.81659,0.748212648434879,Europe
Finland,Paid work or study,229.097,0.8444288282567401,Europe
France,Paid work or study,204.16515,0.7458063779137563,Europe
Germany,Paid work or study,247.88115,0.7096070142739718,Europe
Greece,Paid work or study,227.70988,0.6728246142017339,Europe
Hungary,Paid work or study,237.614,0.7427140536593398,Europe
Ireland,Paid work or study,267.9613,0.5719679369052341,Europe
Italy,Paid work or study,176.70906,0.6028591670562857,Europe
Japan,Paid work or study,362.6546,0.6010048079630295,Asia
South Korea,Paid work or study,344.45236,0.642948496045501,Asia
Mexico,Paid work or study,349.15216,0.49406699910175544,North America
Netherlands,Paid work or study,242.78703,0.7069317346671944,Europe
New Zealand,Paid work or study,270,0.606508875739645,Oceania
Norway,Paid work or study,241.26506,0.720979772004691,Europe
Poland,Paid work or study,259.58719,0.6454967290367721,Europe
Portugal,Paid work or study,295.04895,0.6211874850031045,Europe
Spain,Paid work or study,202.00473,0.7058977866108215,Europe
Sweden,Paid work or study,293.40686,0.8792047923322683,Europe
Turkey,Paid work or study,246.31599,0.37389307783065084,Asia
United Kingdom,Paid work or study,262.26492,0.7005624498304478,Europe
United States,Paid work or study,288.85577,0.7445752690063286,North America
China,Paid work or study,339.76404,0.7461538461538462,Asia
Estonia,Paid work or study,255.57736,0.9272203270346052,Europe
India,Paid work or study,294.9794,0.47290667296718436,Asia
Latvia,Paid work or study,329.93842,0.765307905376649,Europe
Slovenia,Paid work or study,264.63245,0.7809771417315634,Europe
South Africa,Paid work or study,240.57607,0.6630110879274557,Africa
Luxembourg,Unpaid work,179.15561,1.979079692468762,Europe
Lithuania,Unpaid work,224.47133,1.925665194981809,Europe
Luxembourg,Personal care,685.66821,1.02533605746743,Europe
Lithuania,Personal care,645.53864,1.0007359346777813,Europe
Luxembourg,Leisure,276.38571,0.8461144073104532,Europe
Lithuania,Leisure,246.6068,0.7629358621973908,Europe
Luxembourg,Other,14.063417,1.1141934873630865,Europe
Lithuania,Other,8.1680727,1.143229622087753,Europe
Luxembourg,Paid work or study,284.68814,0.723848447050854,Europe
Lithuania,Paid work or study,315.21515,0.788277643544383,Europe
